,Name,Address,twd97E,twd97N,wgs84X,wgs84Y,類別,大類別,type
1,汐止分局,新北市汐止區大同路二段459號,316607,2773488,121.660222,25.068144,警察機關,治安設施,green
2,汐止交通分隊,新北市汐止區大同路二段457號,316576,2773487,121.659915,25.068137,警察機關,治安設施,green
3,汐止派出所,新北市汐止區民生街1號,316612,2773495,121.660272,25.068207,警察機關,治安設施,green
4,東山派出所,新北市汐止區汐平路二段68號,320497,2772692,121.698738,25.060782,警察機關,治安設施,green
5,社后派出所,新北市汐止區中興路108號,313906,2772987,121.633428,25.063738,警察機關,治安設施,green
6,長安派出所,新北市汐止區大同路三段99號,317447,2774561,121.668601,25.077794,警察機關,治安設施,green
7,長青派出所,新北市汐止區長青路188巷1之1號,311082,2778230,121.605671,25.111188,警察機關,治安設施,green
8,烘內派出所,新北市汐止區汐萬路二段230號,315224,2775732,121.646621,25.088463,警察機關,治安設施,green
9,國道公路第一警察隊汐止分隊,新北市汐止區長江街254號,316934.785,2774699.191,121.66353,25.079064,警察機關,治安設施,green
10,橫科派出所,新北市汐止區民權街二段87號,312476,2771192,121.619173,25.047593,警察機關,治安設施,green
11,特搜救災救護大隊秀峰分隊,新北市汐止區忠孝東路1-1號,316287.28,2773041.88,121.657032,25.064131,消防局,治安設施,green
12,第六救災救護大隊汐止分隊,新北市汐止區大同路二段447號,316538.27,2773442.31,121.659539,25.067735,消防局,治安設施,green
13,第六救災救護大隊社后分隊,新北市汐止區福德一路236號,313959.25,2773127.91,121.633962,25.065008,消防局,治安設施,green
14,第六救災救護大隊長青分隊,新北市汐止區永春一路4號,310864.5,2778406.53,121.603522,25.11279,消防局,治安設施,green
15,第六救災救護大隊保長分隊,新北市汐止區大同路三段469號,318553.56,2773847.08,121.679534,25.071299,消防局,治安設施,green
16,第六救災救護大隊橫科分隊,新北市汐止區橫科路119號,312572.9,2771516.88,121.620148,25.050522,消防局,治安設施,green
17,新北市政府消防局第六救災救護大隊部,新北市汐止區福德一路236號6樓,313960.96,2773129.36,121.633979,25.065021,消防局,治安設施,green
18,汐止區公所,新北市汐止區新台五路一段268號,316476.12,2773007.9,121.658902,25.063816,政府機關,治安設施,green
19,財政部北區國稅局汐止稽徵所,新北市汐止區新台五路一段268號9樓,316481.93,2772995.3,121.658959,25.063702,政府機關,治安設施,green
20,新北市政府稅捐稽徵處汐止分處,新北市汐止區新台五路一段268號8樓,316479.69,2773000.06,121.658937,25.063745,政府機關,治安設施,green
21,新北市汐止戶政事務所,新北市汐止區新台五路一段268號6樓,316477.45,2773003.59,121.658915,25.063777,政府機關,治安設施,green
22,新北市汐止戶政事務所,新北市汐止區福德一路258號2樓,313891.88,2773079.63,121.633292,25.064575,政府機關,治安設施,green
23,新北市汐止地政事務所,新北市汐止區新台五路一段262號,316426.68,2772987.61,121.658411,25.063635,政府機關,治安設施,green
24,新北市汐止區衛生所,新北市汐止區新台五路一段266號,316444.82,2772991.91,121.658591,25.063673,政府機關,治安設施,green
25,新北市汐止區汐止國民小學附設幼兒園,新北市汐止區智慧里7鄰大同路二段313號,316105.97,2773350.12,121.6552499,25.06692169,公立幼兒園,醫藥設施,orange
26,新北市汐止區崇德國民小學附設幼兒園,新北市汐止區茄苳里1鄰茄苳路158號,317491.85,2773635.1,121.6690001,25.06943312,公立幼兒園,醫藥設施,orange
27,新北市汐止區長安國民小學附設幼兒園,新北市汐止區長安里11鄰長興街1段80號,317657.83,2774738.2,121.6706995,25.07938418,公立幼兒園,醫藥設施,orange
28,新北市汐止區保長國民小學附設幼兒園,新北市汐止區保安里8鄰大同路三段553號,318716.62,2773910.38,121.6811535,25.07186311,公立幼兒園,醫藥設施,orange
29,新北市汐止區北港國民小學附設幼兒園,新北市汐止區拱北里13鄰汐萬路二段279號,315067.66,2775806.45,121.6450747,25.08914177,公立幼兒園,醫藥設施,orange
30,新北市汐止區金龍國民小學附設幼兒園,新北市汐止區北峰里6鄰明峰街201號,313277.01,2773535.87,121.6272188,25.06871968,公立幼兒園,醫藥設施,orange
31,新北市汐止區白雲國民小學附設幼兒園,新北市汐止區福山里6鄰民權街二段90號,312448.95,2771206.8,121.6189055,25.04772784,公立幼兒園,醫藥設施,orange
32,新北市汐止區北峰國民小學附設幼兒園,新北市汐止區中興里32鄰環河街1號,313845.92,2772995.69,121.6328326,25.06381912,公立幼兒園,醫藥設施,orange
33,新北市汐止區樟樹國民小學附設幼兒園,新北市汐止區厚德里6鄰樟樹一路141巷2號,314737.85,2773299.99,121.6416872,25.06652831,公立幼兒園,醫藥設施,orange
34,新北市立青山國民中小學附設幼兒園,新北市汐止區自強里20鄰莊敬街33號,316270.24,2772663.18,121.656845,25.06071303,公立幼兒園,醫藥設施,orange
35,新北市汐止區秀峰國民小學附設幼兒園,新北市汐止區秀山里5鄰仁愛路90號,316744.6,2772871.88,121.6615565,25.06257625,公立幼兒園,醫藥設施,orange
36,汐止忠厚公共托育中心,新北市汐止區樟樹一路137巷26號2樓,314654.98,2773239.73,121.6408631,25.06598789,公共托育,醫藥設施,orange
37,汐止智興公共托育中心,新北市汐止區忠孝東路3號,316254.79,2773069.02,121.6567114,25.06437748,公共托育,醫藥設施,orange
38,汐止北峰公共托育中心,新北市汐止區中興路250號2樓,313509.12,2773500.62,121.6295178,25.06839177,公共托育,醫藥設施,orange
